modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8461646727656579,0.5383510574494352,0.8477069568596969,0.6583788774382506,0.9233700054608681
LinearSVC,0.8477128782547501,0.5418131773228125,0.8412585827179686,0.6589723945637214,0.9229478186527009
KNN,0.7994370161857847,0.45877753938734456,0.813087835211815,0.5863634614166744,0.879990587471491
DecisionTree,0.8327938071780437,0.5145785262813204,0.8130716414043271,0.6300566481726336,0.825019100644204
RandomForest,0.8550316678395496,0.5540185036759198,0.8758906594118407,0.678596353389005,0.9393432695549577
